@RELATION mi
@ATTRIBUTE h0           NUMERIC
@ATTRIBUTE h1           NUMERIC
@ATTRIBUTE h2           NUMERIC
@ATTRIBUTE h3           NUMERIC
@ATTRIBUTE h4           NUMERIC
@ATTRIBUTE h5           NUMERIC
@ATTRIBUTE h6           NUMERIC
@ATTRIBUTE h7           NUMERIC
@ATTRIBUTE circularity  NUMERIC
@ATTRIBUTE roundness    NUMERIC
@ATTRIBUTE aspect_ratio NUMERIC
@ATTRIBUTE solidity     NUMERIC
@ATTRIBUTE class        {good, bad}
@DATA
0.17, 0.11, 0.12, 0.13, 0.11, 0.13, 0.15, 0.08, 0.85, 0.90, 1.10, 0.97, bad
0.18, 0.09, 0.14, 0.12, 0.14, 0.10, 0.16, 0.08, 0.85, 0.94, 1.05, 0.96, bad
0.16, 0.09, 0.17, 0.08, 0.16, 0.11, 0.14, 0.10, 0.83, 0.96, 1.03, 0.97, bad
0.17, 0.09, 0.15, 0.10, 0.16, 0.11, 0.11, 0.11, 0.86, 0.86, 1.16, 0.98, bad
0.14, 0.11, 0.13, 0.11, 0.17, 0.09, 0.14, 0.12, 0.75, 0.84, 1.15, 0.92, bad
0.17, 0.11, 0.11, 0.10, 0.16, 0.10, 0.16, 0.08, 0.86, 0.91, 1.09, 0.97, bad
0.21, 0.08, 0.17, 0.06, 0.17, 0.13, 0.13, 0.06, 0.80, 0.79, 1.23, 0.95, bad
0.11, 0.11, 0.17, 0.10, 0.13, 0.10, 0.17, 0.11, 0.00, 0.02, 1.07, 0.02, bad
0.14, 0.14, 0.15, 0.07, 0.14, 0.14, 0.16, 0.07, 0.00, 0.01, 1.31, 0.01, bad
0.11, 0.13, 0.19, 0.07, 0.11, 0.13, 0.19, 0.07, 0.77, 0.65, 1.53, 0.95, bad
0.13, 0.13, 0.16, 0.07, 0.16, 0.10, 0.18, 0.07, 0.77, 0.75, 1.30, 0.94, bad
0.11, 0.12, 0.20, 0.08, 0.08, 0.15, 0.17, 0.08, 0.85, 0.72, 1.38, 0.98, bad
0.12, 0.11, 0.19, 0.06, 0.16, 0.11, 0.15, 0.10, 0.83, 0.88, 1.12, 0.96, bad
0.09, 0.10, 0.19, 0.10, 0.12, 0.11, 0.16, 0.13, 0.83, 0.79, 1.26, 0.97, bad
0.15, 0.12, 0.13, 0.10, 0.15, 0.13, 0.10, 0.12, 0.86, 0.89, 1.12, 0.98, bad
0.22, 0.09, 0.14, 0.08, 0.15, 0.15, 0.10, 0.07, 0.80, 0.76, 1.29, 0.97, bad
0.15, 0.12, 0.15, 0.08, 0.15, 0.13, 0.13, 0.09, 0.84, 0.84, 1.18, 0.97, bad
0.16, 0.07, 0.13, 0.19, 0.07, 0.10, 0.15, 0.13, 0.82, 0.73, 1.35, 0.97, bad
0.12, 0.13, 0.21, 0.03, 0.15, 0.16, 0.12, 0.09, 0.58, 0.48, 1.74, 0.86, bad
0.06, 0.09, 0.26, 0.09, 0.08, 0.11, 0.19, 0.13, 0.70, 0.62, 1.53, 0.94, bad
0.13, 0.11, 0.18, 0.09, 0.10, 0.12, 0.19, 0.07, 0.82, 0.74, 1.34, 0.97, bad
0.09, 0.10, 0.18, 0.12, 0.12, 0.09, 0.16, 0.15, 0.86, 0.77, 1.30, 0.98, bad
0.18, 0.09, 0.15, 0.09, 0.16, 0.10, 0.14, 0.09, 0.88, 0.92, 1.09, 0.98, bad
0.15, 0.09, 0.17, 0.10, 0.13, 0.11, 0.16, 0.10, 0.79, 0.83, 1.18, 0.96, bad
0.13, 0.12, 0.14, 0.11, 0.13, 0.12, 0.14, 0.11, 0.85, 0.93, 1.07, 0.97, bad
0.17, 0.03, 0.20, 0.12, 0.12, 0.09, 0.14, 0.12, 0.79, 0.76, 1.28, 0.96, bad
0.13, 0.09, 0.18, 0.10, 0.12, 0.09, 0.18, 0.10, 0.87, 0.86, 1.16, 0.98, good
0.13, 0.11, 0.16, 0.09, 0.13, 0.12, 0.14, 0.10, 0.89, 0.91, 1.09, 0.99, good
0.11, 0.09, 0.20, 0.11, 0.10, 0.09, 0.20, 0.10, 0.00, 0.01, 1.10, 0.01, good
0.16, 0.08, 0.18, 0.10, 0.12, 0.11, 0.16, 0.09, 0.88, 0.90, 1.11, 0.99, good
0.16, 0.09, 0.15, 0.10, 0.14, 0.11, 0.14, 0.10, 0.90, 0.98, 1.02, 0.99, good
0.09, 0.10, 0.18, 0.13, 0.10, 0.09, 0.18, 0.13, 0.00, 0.01, 1.16, 0.01, good
0.13, 0.11, 0.17, 0.09, 0.12, 0.12, 0.17, 0.09, 0.00, 0.01, 1.21, 0.01, good
0.14, 0.10, 0.19, 0.08, 0.12, 0.12, 0.16, 0.08, 0.89, 0.85, 1.18, 0.99, good
0.12, 0.11, 0.20, 0.09, 0.09, 0.13, 0.17, 0.09, 0.87, 0.78, 1.28, 0.98, good
0.12, 0.08, 0.18, 0.12, 0.10, 0.08, 0.19, 0.11, 0.87, 0.78, 1.28, 0.99, good
0.13, 0.10, 0.17, 0.10, 0.13, 0.10, 0.17, 0.10, 0.90, 0.91, 1.10, 0.99, good
0.15, 0.10, 0.14, 0.10, 0.15, 0.10, 0.14, 0.11, 0.89, 0.96, 1.04, 0.99, good
0.15, 0.11, 0.15, 0.10, 0.14, 0.11, 0.14, 0.10, 0.89, 0.97, 1.03, 0.98, good
0.16, 0.10, 0.14, 0.10, 0.15, 0.10, 0.14, 0.10, 0.89, 0.94, 1.06, 0.99, good
0.17, 0.10, 0.14, 0.10, 0.15, 0.11, 0.14, 0.09, 0.90, 0.95, 1.05, 0.99, good
0.13, 0.09, 0.18, 0.09, 0.14, 0.11, 0.15, 0.11, 0.88, 0.93, 1.08, 0.98, good
0.18, 0.08, 0.17, 0.08, 0.15, 0.11, 0.14, 0.08, 0.88, 0.94, 1.07, 0.98, good
0.13, 0.11, 0.16, 0.10, 0.15, 0.08, 0.18, 0.10, 0.89, 0.92, 1.08, 0.99, good
0.17, 0.09, 0.15, 0.10, 0.14, 0.10, 0.15, 0.09, 0.89, 0.97, 1.03, 0.98, good
0.16, 0.08, 0.18, 0.09, 0.15, 0.11, 0.12, 0.11, 0.88, 0.96, 1.04, 0.99, good
0.14, 0.10, 0.16, 0.10, 0.16, 0.08, 0.17, 0.10, 0.88, 0.95, 1.05, 0.99, good
0.17, 0.12, 0.12, 0.09, 0.17, 0.11, 0.13, 0.09, 0.00, 0.01, 1.14, 0.02, good
0.15, 0.08, 0.19, 0.10, 0.12, 0.11, 0.15, 0.10, 0.88, 0.91, 1.09, 0.98, good
0.20, 0.10, 0.10, 0.09, 0.20, 0.12, 0.07, 0.11, 0.86, 0.72, 1.38, 0.99, good
0.15, 0.10, 0.16, 0.10, 0.14, 0.10, 0.16, 0.09, 0.89, 0.94, 1.06, 0.99, good
0.18, 0.04, 0.19, 0.09, 0.16, 0.09, 0.12, 0.12, 0.88, 0.84, 1.19, 0.99, good
0.13, 0.08, 0.15, 0.14, 0.13, 0.07, 0.15, 0.14, 0.00, 0.01, 1.06, 0.01, good
0.16, 0.10, 0.14, 0.10, 0.16, 0.11, 0.13, 0.11, 0.89, 0.92, 1.09, 0.99, good
0.17, 0.08, 0.15, 0.11, 0.15, 0.09, 0.15, 0.10, 0.90, 0.94, 1.06, 0.99, good
0.14, 0.11, 0.15, 0.10, 0.14, 0.11, 0.16, 0.10, 0.89, 0.94, 1.07, 0.99, good
0.15, 0.10, 0.14, 0.10, 0.16, 0.11, 0.12, 0.12, 0.88, 0.93, 1.07, 0.98, good
0.14, 0.11, 0.15, 0.09, 0.14, 0.12, 0.14, 0.10, 0.88, 0.93, 1.07, 0.98, good
0.12, 0.09, 0.17, 0.09, 0.17, 0.09, 0.10, 0.16, 0.78, 0.81, 1.15, 0.94, good
0.15, 0.12, 0.16, 0.08, 0.12, 0.15, 0.14, 0.07, 0.87, 0.77, 1.29, 0.98, good
0.18, 0.09, 0.13, 0.11, 0.16, 0.10, 0.13, 0.10, 0.89, 0.89, 1.13, 0.99, good
0.15, 0.12, 0.14, 0.09, 0.15, 0.12, 0.12, 0.10, 0.88, 0.89, 1.12, 0.98, good
0.15, 0.09, 0.15, 0.09, 0.16, 0.09, 0.15, 0.10, 0.90, 0.97, 1.03, 0.99, good
0.12, 0.09, 0.21, 0.08, 0.12, 0.10, 0.19, 0.08, 0.88, 0.79, 1.27, 0.98, good
0.16, 0.10, 0.16, 0.09, 0.15, 0.10, 0.16, 0.08, 0.89, 0.95, 1.05, 0.99, good
0.18, 0.09, 0.13, 0.11, 0.15, 0.10, 0.15, 0.09, 0.88, 0.91, 1.09, 0.98, good
0.17, 0.09, 0.16, 0.10, 0.13, 0.13, 0.12, 0.10, 0.88, 0.95, 1.04, 0.98, good
0.15, 0.10, 0.15, 0.10, 0.15, 0.11, 0.15, 0.10, 0.89, 0.97, 1.03, 0.98, good
0.17, 0.09, 0.15, 0.10, 0.16, 0.11, 0.12, 0.11, 0.88, 0.90, 1.11, 0.98, good
0.15, 0.09, 0.15, 0.12, 0.13, 0.11, 0.13, 0.12, 0.89, 0.92, 1.08, 0.99, good
0.17, 0.10, 0.13, 0.10, 0.16, 0.10, 0.14, 0.09, 0.89, 0.94, 1.07, 0.98, good
0.16, 0.11, 0.17, 0.08, 0.12, 0.15, 0.15, 0.07, 0.88, 0.79, 1.27, 0.99, good
0.17, 0.08, 0.12, 0.13, 0.16, 0.08, 0.13, 0.12, 0.87, 0.79, 1.27, 0.98, good
0.20, 0.07, 0.13, 0.12, 0.17, 0.09, 0.11, 0.12, 0.87, 0.78, 1.28, 0.99, good
0.14, 0.08, 0.14, 0.14, 0.14, 0.08, 0.15, 0.13, 0.87, 0.79, 1.26, 0.99, good
0.12, 0.07, 0.21, 0.10, 0.12, 0.08, 0.17, 0.12, 0.87, 0.78, 1.29, 0.98, good
0.16, 0.09, 0.16, 0.11, 0.14, 0.10, 0.15, 0.10, 0.88, 0.97, 1.03, 0.98, good
0.17, 0.07, 0.16, 0.12, 0.13, 0.10, 0.13, 0.11, 0.88, 0.89, 1.13, 0.98, good
0.17, 0.10, 0.15, 0.09, 0.15, 0.12, 0.14, 0.08, 0.89, 0.89, 1.12, 0.98, good
0.12, 0.09, 0.22, 0.08, 0.09, 0.12, 0.20, 0.08, 0.86, 0.72, 1.38, 0.98, good
0.15, 0.08, 0.18, 0.09, 0.14, 0.10, 0.16, 0.10, 0.89, 0.94, 1.06, 0.98, good
0.15, 0.09, 0.15, 0.11, 0.15, 0.09, 0.15, 0.11, 0.89, 0.92, 1.09, 0.98, good
0.15, 0.09, 0.16, 0.09, 0.15, 0.10, 0.14, 0.10, 0.89, 0.99, 1.01, 0.98, good
0.14, 0.09, 0.18, 0.09, 0.13, 0.12, 0.14, 0.11, 0.89, 0.92, 1.08, 0.98, good
0.19, 0.08, 0.17, 0.09, 0.13, 0.10, 0.18, 0.06, 0.87, 0.94, 1.05, 0.98, good
0.17, 0.10, 0.15, 0.10, 0.14, 0.11, 0.15, 0.09, 0.88, 0.97, 1.03, 0.98, good
0.18, 0.07, 0.16, 0.10, 0.16, 0.11, 0.12, 0.11, 0.89, 0.89, 1.12, 0.99, good
0.16, 0.10, 0.13, 0.11, 0.15, 0.12, 0.12, 0.11, 0.89, 0.91, 1.10, 0.99, good
0.17, 0.09, 0.15, 0.11, 0.13, 0.12, 0.13, 0.10, 0.88, 0.96, 1.04, 0.98, good
0.15, 0.07, 0.18, 0.11, 0.13, 0.10, 0.15, 0.11, 0.89, 0.90, 1.11, 0.99, good
